Authoritariansm,SDO,CRT,Conspiracy,Paranoia,LOC_1,LOC2,LOC3,TIS,Alt,Agreeableness,Conscientiousness,Neuroticism,Openness,Extraversion,Ireland$MigrantAttitudes1,Ireland$MigrantAttitudes2,Ireland$C19_Infected_Binary,Ireland$C19_SomeoneClose_Infected_Binary,Ireland$Vax_Self_Binary,Ireland$�..Sex,Ireland$Occupation_Binary,Ireland$Education_Binary,Trust_Scientist,Trust_Doctor
0.35118881,0.10790787,-0.643021258,-0.197424205,0.545528183,0.459431008,0.339991745,1.026149073,0.271953797,1.375335491,8,9,4,8,6,7,3,0,0,1,1,1,0,5,4
-1.225516129,1.425791351,0.868779879,1.659386532,0.77072586,1.313037064,1.119184925,1.354057907,-1.762481228,-2.376506686,3,4,5,9,4,2,1,0,0,0,0,0,0,2,2
-0.062901272,1.061840519,-0.643021258,1.252635243,1.217590627,0.459431008,0.571422373,0.317288972,-0.893306544,-0.106142705,6,6,6,6,6,5,5,0,0,0,1,1,0,3,1
-0.042976742,-0.607490933,1.503089667,-0.980004257,-0.084400707,0.066196454,-0.395947164,-1.028957162,-0.447934523,0.097608444,6,8,5,8,6,8,8,0,0,0,0,1,0,4,5
-0.356561446,0.850586889,-0.643021258,-0.226967526,1.320591397,0.541781367,0.355583302,0.113032277,-0.682698667,-1.015265827,7,9,4,8,6,3,6,1,0,1,1,1,0,4,5
0.136808524,1.061840519,-0.643021258,-0.551523611,0.49176188,0.31931229,1.079117271,0.113032277,0.22058023,-0.907850219,6,6,6,6,6,6,6,0,0,1,1,1,1,3,3
-0.692795953,-0.057909246,-0.643021258,0.345732666,-0.028399023,-0.010392807,-0.203240321,-0.343380976,-0.040126972,0.895611447,6,10,8,2,4,4,5,0,0,1,0,1,0,3,4
-0.512697362,0.800164456,0.444417946,-0.596209377,0.100607594,0.123819731,0.406697257,0.113032277,0.22058023,-1.957376737,4,7,7,10,5,8,10,0,0,0,0,1,1,4,5
0.239781091,1.30497982,0.121682753,-1.647090474,-0.213382465,0.357765467,1.558282107,0.085085482,0.329524061,-0.218507837,9,9,6,8,6,1,3,0,1,0,0,0,0,2,4
-1.406048688,0.555129915,0.698896189,-0.543637429,-0.218792785,0.181846499,-0.034820661,1.49459521,-0.783929389,-1.22261419,8,6,4,5,4,10,10,0,0,1,0,1,1,5,4
0.218752081,-0.865624267,-0.643021258,0.327853358,-1.526192182,0.770163799,0.406697257,-0.395681192,0.11269009,1.075206266,4,7,6,9,6,8,10,0,0,1,0,1,1,2,5
-1.494322958,-0.130064913,-0.643021258,2.301845529,-1.526192182,-0.12383119,-0.456252273,-0.825468927,-2.021279556,-0.469394808,9,10,2,6,9,1,1,0,0,0,1,1,0,4,4
-0.203172195,-1.777294449,0.868779879,-0.648907438,0.49176188,0.48085241,-0.260673992,-0.14224064,0.163299458,-0.907850219,9,5,5,7,9,8,8,0,0,1,1,1,1,1,4
1.468219896,0.504452133,1.503089667,1.056684808,-1.526192182,-0.255592317,2.639658353,0.555230736,-1.5564141,0.723627939,8,9,3,7,10,5,5,0,0,0,0,1,1,1,5
-0.435069865,-1.223826534,-0.643021258,0.067675842,-1.318772218,-0.503274234,-1.307037133,0.345935654,-0.523024991,1.178452234,9,10,7,5,6,6,4,0,0,0,0,0,1,4,4
0.136808524,1.061840519,-0.643021258,-0.551523611,0.49176188,0.31931229,1.079117271,0.113032277,0.22058023,-1.079658554,6,6,6,6,6,6,6,0,0,1,1,1,0,3,3
-0.103478196,-0.373680939,1.503089667,0.20362676,1.02605371,0.402831357,1.261028994,-0.226037514,-0.954610251,-0.425876086,4,8,9,7,2,5,9,0,0,0,0,1,0,4,3
-0.393828355,0.056576737,-0.643021258,-0.430713526,-1.087987664,-0.655113516,-1.567582422,0.648784465,1.024698737,0.239116678,8,10,3,8,6,8,7,0,0,1,1,1,1,4,4
0.735960134,0.462890962,1.503089667,-1.263845186,0.179378147,-0.126432515,0.406697257,-0.228229888,0.373385399,0.622365358,9,9,3,7,8,7,4,0,0,0,1,1,1,4,4
1.096437828,0.85574057,-0.643021258,-0.703395633,-1.526192182,-0.737764065,-0.336644221,-0.620520731,0.227929401,-0.037448806,6,10,4,6,8,4,5,0,0,1,0,1,0,4,4
