"","Authoritariansm","SDO","CRT","Conspiracy","Paranoia","LOC_1","LOC2","LOC3","TIS","Alt","Agreeableness","Conscientiousness","Neuroticism","Openness","Extraversion","Ireland$Trust_in_Irish_State","Ireland$MigrantAttitudes1","Ireland$MigrantAttitudes2","Ireland$C19_Infected_Binary","Ireland$C19_SomeoneClose_Infected_Binary","Ireland$Vax_Self_Binary","Ireland$ï..Sex","Ireland$Occupation_Binary","Ireland$Education_Binary"
"117",1.14598782140878,0.839984412403463,0.868779879465011,-0.0155879116685303,1.21396649295299,1.93147074856704,1.3082060035451,2.51202925437544,-1.10964206760617,0.331922490626615,4,8,8,7,4,13,10,8,0,0,0,0,0,1
"118",1.49830320909597,-0.650419085100649,0.12168275327275,-0.226209523450816,0.263068570462241,-0.415579539782018,-0.899331677156902,-0.471026553703263,1.81498538046939,0.386632220567197,6,8,8,6,6,28,6,8,0,0,1,1,0,1
"119",-1.91427200129034,-1.22126212417644,0.25247080202904,-2.62146474824141,0.65966514747804,0.163160649823914,0.635471569428939,0.830796973598152,0.380697113658391,-0.556187704824057,8,10,3,10,10,25,9,9,0,0,0,1,0,1
"120",-0.385813018473088,0.116415103363566,-0.643021257745389,0.114021922683471,0.0532190180367325,0.817618838323061,0.186846217762876,0.443359507781474,-1.41376041457506,0.0983676348979883,7,6,6,6,5,14,3,3,0,0,0,0,0,1
"121",-0.709121820171507,-0.825652034673254,1.50308966740445,-3.02296207655101,-1.52619218201925,-0.754362109868408,-0.34744871563527,-1.36446732615607,1.49011815778087,-0.123160092040887,8,6,5,4,7,29,10,10,0,0,0,1,0,1
"122",-0.25477872307984,0.662041293314117,0.868779879465011,-0.0966695415940598,0.416238105991981,-0.285025320409736,-0.191300098201713,-1.45507565455739,0.264590199385437,0.345851920422406,8,8,7,4,4,23,5,5,0,0,0,1,1,1
"123",-0.0482119700198556,2.12728838854383,-0.643021257745389,1.18985868381885,0.704641723022193,0.247731929169722,0.903488141334625,0.395951727695653,-1.76248122808747,0.163245866185761,7,8,8,10,9,14,1,1,0,0,0,1,0,1
"124",-0.998957518940126,0.571311317772191,-0.643021257745389,0.0840275435464709,-0.599443274848469,-1.69147180345136,0.0330329116300774,-1.21333755875317,-1.40167473575858,0.322764415803416,9,10,6,5,4,17,3,6,0,0,1,0,1,1
"125",-1.71488550903308,-1.36575896651948,0.868779879465011,-0.0209471369184705,0.405691007595824,0.330860950424728,0.329216222746909,0.774579367001577,-2.02127955617421,0.76062533111431,4,7,7,10,3,12,8,10,0,0,0,0,0,1
"126",1.10708323081876,0.51214665354743,-0.643021257745389,1.22983913996482,-0.329656582006251,0.211937482027923,0.419172342135762,0.877112703488023,-1.41376041457506,-0.336953428888088,9,7,5,7,8,16,4,3,0,0,0,1,0,0
"127",1.74828917858833,-0.53644200537085,0.975433203664724,0.13495159810925,-0.433340680918976,-1.55983261351363,-0.583592109323751,-1.07158371986215,0.773045898401131,1.48347497136433,9,10,2,6,9,28,4,6,0,0,0,0,0,0
"128",-0.154558765567106,0.610972929567206,0.12168275327275,2.3018455294543,0.709219581487264,-0.494573302107738,0.2203260037892,1.47731761315107,-1.41376041457506,-1.03729890721255,5,7,8,7,5,14,2,1,0,0,1,1,0,1
"129",-0.790256871475739,-0.614588792206064,0.698896188758938,1.152146654076,0.281932983233918,-1.41746186687646,-0.276806862363841,0.780186032785702,-1.00828227454159,1.12111017959287,6,5,5,9,6,17,5,6,0,0,1,0,0,1
"130",-0.440432224125379,-0.0516464578779935,-0.643021257745389,-0.165576352693058,-0.81239178675578,0.247731929169722,1.0951868849195,0.174510918752303,0.904577062274601,-0.556150173438332,7,5,3,7,7,26,10,10,0,0,0,0,0,0
"131",-0.415566509756752,0.302772448651944,1.50308966740445,0.0657640376844897,-0.306629729094903,-0.548467599010122,-0.676000643626292,0.219491961253454,0.939620623155705,-0.318195798823093,7,10,5,5,6,24,6,5,0,0,0,1,1,1
"132",-0.180376169310134,0.341770242830169,-0.643021257745389,-1.54418433945676,0.994177506387979,0.446579894124363,0.508489826735833,0.584202115825512,0.580166588545223,-1.07965855430671,8,5,10,10,3,24,4,6,0,0,0,1,1,0
"133",-0.122733087377528,-1.55874035528811,0.975433203664724,-1.24381935421324,-1.14538961883212,0.537318093805063,-0.229650112265116,-0.816321248630242,1.75624236213206,0.674355434941929,9,8,5,7,8,32,7,7,0,0,0,1,0,1
"134",0.136808523700728,1.06184051881282,-0.643021257745389,0.886099048687145,1.23239948366463,-0.0229248639283608,0.012075353709059,-0.298736201847013,0.220580229794594,0.163245866185761,7,8,3,4,7,21,3,3,0,0,0,0,0,0
"135",-0.867686513600502,0.315179230484302,0.12168275327275,-0.296202138600645,-0.827814014617085,-0.548467599010122,0.013584005925383,0.353207292822597,0.697120742755832,1.37533549134308,8,7,6,6,4,27,7,7,0,0,1,1,0,1
"136",-1.0076318943876,0.960408650712286,0.444417946247724,0.914649414547978,0.281932983233918,-0.754362109868408,-0.974062624043577,-1.00323188095765,0.59096905526376,-1.34350689220143,7,6,5,4,2,25,5,6,0,0,1,0,0,0
"137",-0.309214931259827,-1.09745308706461,0.444417946247724,-1.52141269746544,-1.08798766359495,-0.602811207403792,-0.776907760258525,-0.383624504098033,0.380697113658391,0.298852552482874,6,6,4,7,4,25,7,8,0,0,0,1,0,1
"138",1.57172961456621,-0.88454289924954,-0.643021257745389,1.1960277846895,1.32059139721051,-0.323750789673564,0.455115021799607,0.624691018130658,0.21764382012808,0.842604695065559,7,8,7,4,9,27,6,7,0,0,0,0,0,1
"139",-0.115447718908081,1.21167148248118,1.50308966740445,-0.487226371531605,-0.578618219470251,1.53103320106428,-0.637159867380799,-1.00323188095765,-1.74164438077096,-1.84994852008109,5,7,4,4,6,14,5,7,0,0,0,0,0,1
"140",1.08751379483975,0.599166030760371,1.50308966740445,0.206840319255903,-0.607389423327721,-0.853021962164043,-1.80596763916954,-1.55174786430234,-0.543722619107722,-0.292704119308538,9,7,2,6,3,19,9,9,0,0,0,0,0,1
"141",-0.339960304826234,0.290935687892952,-0.643021257745389,-0.241959297672866,0.0562519699993829,-0.739785547050211,1.29096847261389,1.02144302112252,-0.45399227336975,0.318796511554018,8,5,9,8,5,23,8,7,0,0,0,1,0,1
"142",-0.717057968704777,0.230744279945233,0.12168275327275,-0.494486472350093,-0.140225110390236,0.817618838323061,0.419172342135762,-0.513883287173906,-0.45399227336975,-0.343010454715564,8,5,8,4,6,22,6,8,0,0,0,1,0,0
"143",-0.457923130847404,0.809196233654539,1.50308966740445,0.86207830260225,-1.28423952863339,0.886710293376728,0.974672924182846,1.62935943496993,0.220580229794594,0.163245866185761,9,8,6,6,4,21,8,7,0,0,1,1,1,0
"144",0.0513379554830897,-0.82283099102474,-0.643021257745389,-0.184670637087619,-0.0812815945503836,-0.494573302107738,1.4523921233098,0.678725450148935,1.12167042309646,0.504878893065352,7,7,7,5,5,27,8,8,0,1,0,1,0,1
"145",-1.76213529291046,-1.2697624332087,0.25247080202904,0.476367277290179,-0.60568308197288,-1.69147180345136,-1.06594409708257,0.174510918752303,0.195545440681274,-0.626398849632585,7,8,4,7,8,21,7,2,0,0,1,0,0,1
"146",0.124996190014148,-0.66787025833647,1.50308966740445,-0.940883016640325,-1.28423952863339,-0.657644852604447,-0.126254302163023,-1.06536041613304,1.02469873727396,0.876963114595398,9,9,5,6,5,26,8,8,0,0,0,1,0,1
"147",0.514149032728969,-0.222041283121799,-0.643021257745389,-0.258257005389465,-0.0844007068269511,-0.0229248639283608,-0.953715787630848,-0.513883287173906,-0.655661347600055,-1.434859884855,7,10,5,8,5,18,6,8,0,0,0,0,0,1
"148",0.233758328561345,0.866367468359917,0.868779879465011,-1.19362296430568,0.238087700345731,0.113950284081864,0.398932647674894,-0.0419177271510363,-0.474658337710432,-0.580338249276065,4,6,5,5,2,21,5,6,0,0,0,0,1,1
"149",-2.07260663604645,-0.861068769174276,1.50308966740445,-1.29136583899141,-1.28423952863339,-0.698556956906819,0.132293733238391,-0.00246467919119254,0.271953797190793,-0.370667014967814,7,7,9,9,4,26,8,7,0,1,0,0,0,1
"150",-1.00499484448859,-0.432401550190756,0.868779879465011,-0.125084988254206,-1.52619218201925,-0.0735751457171208,-1.80596763916954,-1.45507565455739,1.25128673467033,0.693508639391592,9,7,3,6,8,30,8,10,0,0,0,1,1,1
"151",0.148263771890843,0.437805739572889,-0.643021257745389,-0.237309659751137,-0.0694226117397294,-0.45496850693964,-0.0594756501025154,-0.424918949082215,0.686204135225124,-0.150012156330804,7,10,3,9,8,25,7,8,0,0,1,1,0,1
"152",-0.896487293109579,-0.252421810878173,-0.643021257745389,-0.472202060642949,0.177428355214742,-1.55983261351363,-1.80596763916954,-1.55174786430234,0.59096905526376,-0.733088622088974,10,10,3,10,6,24,5,5,0,0,1,1,0,0
"153",-1.45209125449967,-1.26930532644856,0.444417946247724,0.56542055426854,-1.52619218201925,-0.602811207403792,0.0270472572551587,-0.710313333890427,0.697120742755832,1.36186426811365,10,9,4,7,8,27,7,7,1,1,1,0,0,1
"154",0.198861466068173,0.00347602826555304,-0.643021257745389,0.00349036382032302,0.263068570462241,-0.754362109868408,0.2203260037892,-0.943988817408959,0.195545440681274,1.10513784149222,7,8,8,7,4,24,7,7,0,0,0,0,0,0
"155",-0.0352664646417838,1.06184051881282,-0.643021257745389,1.44231855809518,-0.152367336429804,0.412412233221999,0.0991065125900566,0.486999351665277,-1.57208690688784,-0.907850219302547,8,8,5,7,5,15,2,2,0,1,0,1,0,1
